player,overs,balls,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings
Dhananjaya de Silva,4,24,0,39,0,9.75,9,4,2,1,0,Sri Lanka,South Africa,1
Matheesha Pathirana,10,60,0,95,1,9.5,22,10,2,5,0,Sri Lanka,South Africa,1
Dunith Wellalage,10,60,0,81,1,8.1,27,10,3,2,0,Sri Lanka,South Africa,1
Aryan Dutt,7,42,0,59,1,8.42,17,9,1,0,0,Netherlands,Australia,1
Colin Ackermann,4,24,0,19,0,4.75,10,0,1,0,0,Netherlands,Australia,1
Logan van Beek,10,60,0,74,4,7.4,31,7,3,5,0,Netherlands,Australia,1
Paul van Meekeren,10,60,0,64,0,6.4,29,7,1,3,0,Netherlands,Australia,1
Vikramjit Singh,4,24,0,27,0,6.75,13,3,1,1,0,Netherlands,Australia,1
Roelof van der Merwe,5,30,0,41,0,8.2,11,3,2,1,0,Netherlands,Australia,1
Bas de Leede,10,60,0,115,2,11.5,20,13,6,1,1,Netherlands,Australia,1
Jasprit Bumrah,10,60,1,41,2,4.1,39,2,2,1,0,India,Bangladesh,1
Mohammed Siraj,10,60,0,60,2,6,34,8,1,3,0,India,Bangladesh,1
Hardik Pandya,0.3,3,0,8,0,16,1,2,0,0,0,India,Bangladesh,1
Virat Kohli,0.3,3,0,2,0,4,1,0,0,0,0,India,Bangladesh,1
Shardul Thakur,9,54,0,59,1,6.55,23,3,3,0,0,India,Bangladesh,1
Kuldeep Yadav,10,60,0,47,1,4.7,25,1,1,1,0,India,Bangladesh,1
Ravindra Jadeja,10,60,0,38,2,3.8,36,2,1,0,0,India,Bangladesh,1
Mitchell Starc,9,54,1,53,2,5.88,29,3,3,1,0,Australia,South Africa,1
Josh Hazlewood,9,54,0,60,1,6.66,30,7,2,3,0,Australia,South Africa,1
Glenn Maxwell,10,60,1,34,2,3.4,32,0,0,2,0,Australia,South Africa,1
Pat Cummins,9,54,0,71,1,7.88,19,6,3,0,0,Australia,South Africa,1
Adam Zampa,10,60,0,70,1,7,20,9,0,1,0,Australia,South Africa,1
Mitchell Marsh,1,6,0,6,0,6,1,0,0,0,0,Australia,South Africa,1
Marcus Stoinis,2,12,0,11,0,5.5,5,1,0,0,0,Australia,South Africa,1
Mujeeb Ur Rahman,10,60,0,57,1,5.7,32,4,2,1,0,Afghanistan,New Zealand,1
Fazalhaq Farooqi,7,42,1,39,0,5.57,23,2,2,2,0,Afghanistan,New Zealand,1
Naveen-ul-Haq,8,48,0,48,2,6,17,4,0,0,0,Afghanistan,New Zealand,1
Mohammad Nabi,8,48,1,41,0,5.12,30,1,4,0,0,Afghanistan,New Zealand,1
Rashid Khan,10,60,0,43,1,4.3,35,4,0,2,0,Afghanistan,New Zealand,1
Azmatullah Omarzai,7,42,0,56,2,8,17,4,3,0,1,Afghanistan,New Zealand,1
Mujeeb Ur Rahman,10,60,0,38,2,3.8,29,2,0,0,0,Afghanistan,Sri Lanka,1
Fazalhaq Farooqi,10,60,1,34,4,3.4,42,3,1,0,0,Afghanistan,Sri Lanka,1
Naveen-ul-Haq,6.3,39,0,47,0,7.23,16,5,1,2,0,Afghanistan,Sri Lanka,1
Azmatullah Omarzai,7,42,0,37,1,5.28,22,5,0,1,0,Afghanistan,Sri Lanka,1
Rashid Khan,10,60,0,50,1,5,27,3,0,2,0,Afghanistan,Sri Lanka,1
Mohammad Nabi,6,36,0,33,0,5.5,11,1,0,0,0,Afghanistan,Sri Lanka,1
Lungi Ngidi,8.2,50,0,63,1,7.56,29,8,3,2,0,South Africa,India,1
Marco Jansen,9.4,58,0,94,1,9.72,28,15,1,7,1,South Africa,India,1
Kagiso Rabada,10,60,1,48,1,4.8,33,6,0,0,0,South Africa,India,1
Keshav Maharaj,10,60,0,30,1,3,32,0,0,1,0,South Africa,India,1
Tabraiz Shamsi,10,60,0,72,1,7.2,22,5,1,7,1,South Africa,India,1
Aiden Markram,2,12,0,17,0,8.5,4,1,1,1,0,South Africa,India,1
Shaheen Shah Afridi,10,60,1,54,5,5.4,39,4,3,3,0,Pakistan,Australia,1
Hasan Ali,8,48,0,57,0,7.12,26,4,3,3,0,Pakistan,Australia,1
Iftikhar Ahmed,8,48,0,37,0,4.62,30,4,1,2,0,Pakistan,Australia,1
Haris Rauf,8,48,0,83,3,10.37,18,8,5,3,0,Pakistan,Australia,1
Usama Mir,9,54,0,82,1,9.11,19,6,5,2,0,Pakistan,Australia,1
Mohammad Nawaz,7,42,0,43,0,6.14,20,3,2,0,0,Pakistan,Australia,1
Aryan Dutt,10,60,0,67,2,6.7,30,5,3,1,1,Netherlands,England,1
Logan van Beek,10,60,0,88,2,8.8,25,10,1,10,0,Netherlands,England,1
Paul van Meekeren,10,60,0,57,1,5.7,28,5,0,5,0,Netherlands,England,1
Bas de Leede,10,60,0,74,3,7.4,26,5,4,0,0,Netherlands,England,1
Roelof van der Merwe,3,18,0,22,0,7.33,6,0,2,0,0,Netherlands,England,1
Colin Ackermann,7,42,0,31,0,4.42,15,1,0,0,0,Netherlands,England,1
Shaheen Shah Afridi,9,54,1,23,3,2.55,40,2,0,2,0,Pakistan,Bangladesh,1
Iftikhar Ahmed,10,60,0,44,1,4.4,32,5,0,0,0,Pakistan,Bangladesh,1
Haris Rauf,8,48,0,36,2,4.5,28,3,0,2,0,Pakistan,Bangladesh,1
Mohammad Wasim,8.1,49,1,31,3,3.79,31,4,0,0,0,Pakistan,Bangladesh,1
Usama Mir,10,60,0,66,1,6.6,27,5,3,1,0,Pakistan,Bangladesh,1
Shaheen Shah Afridi,9,54,0,66,1,7.33,27,9,1,4,0,Pakistan,Sri Lanka,1
Hasan Ali,10,60,0,71,4,7.1,32,6,4,3,1,Pakistan,Sri Lanka,1
Mohammad Nawaz,9,54,0,62,1,6.88,23,7,1,0,0,Pakistan,Sri Lanka,1
Haris Rauf,10,60,0,64,2,6.4,30,6,2,1,0,Pakistan,Sri Lanka,1
Shadab Khan,8,48,0,55,1,6.87,20,6,1,0,0,Pakistan,Sri Lanka,1
Iftikhar Ahmed,4,24,0,22,0,5.5,11,2,0,1,0,Pakistan,Sri Lanka,1
Aryan Dutt,7,42,0,52,0,7.42,19,7,1,1,0,Netherlands,India,1
Logan van Beek,10,60,0,107,0,10.7,17,10,6,1,0,Netherlands,India,1
Colin Ackermann,3,18,0,25,0,8.33,5,2,1,1,0,Netherlands,India,1
Paul van Meekeren,10,60,0,90,1,9,19,6,5,2,1,Netherlands,India,1
Roelof van der Merwe,10,60,0,53,1,5.3,27,4,1,0,0,Netherlands,India,1
Bas de Leede,10,60,0,82,2,8.2,22,8,2,8,0,Netherlands,India,1
Shaheen Shah Afridi,10,60,0,90,0,9,24,11,2,5,0,Pakistan,New Zealand,1
Hasan Ali,10,60,0,82,1,8.2,26,10,2,2,1,Pakistan,New Zealand,1
Iftikhar Ahmed,8,48,0,55,1,6.87,20,8,0,0,0,Pakistan,New Zealand,1
Haris Rauf,10,60,0,85,1,8.5,24,11,2,2,0,Pakistan,New Zealand,1
Mohammad Wasim,10,60,0,60,3,6,28,4,1,3,0,Pakistan,New Zealand,1
Agha Salman,2,12,0,21,0,10.5,3,2,1,1,0,Pakistan,New Zealand,1
Jasprit Bumrah,10,60,0,39,4,3.9,41,5,0,3,0,India,Afghanistan,1
Mohammed Siraj,9,54,0,76,0,8.44,23,12,1,1,0,India,Afghanistan,1
Hardik Pandya,7,42,0,43,2,6.14,23,5,1,2,0,India,Afghanistan,1
Shardul Thakur,6,36,0,31,1,5.16,21,2,1,1,1,India,Afghanistan,1
Kuldeep Yadav,10,60,0,40,1,4,35,0,3,0,0,India,Afghanistan,1
Ravindra Jadeja,8,48,0,38,0,4.75,22,1,1,0,1,India,Afghanistan,1
Naveen-ul-Haq,7,42,0,52,2,7.42,22,4,3,3,0,Afghanistan,Pakistan,1
Mujeeb Ur Rahman,8,48,0,55,0,6.87,20,5,2,0,0,Afghanistan,Pakistan,1
Mohammad Nabi,10,60,0,31,1,3.1,37,2,0,0,0,Afghanistan,Pakistan,1
Azmatullah Omarzai,5,30,0,50,1,10,9,4,2,3,0,Afghanistan,Pakistan,1
Rashid Khan,10,60,0,41,0,4.1,30,1,1,0,0,Afghanistan,Pakistan,1
Noor Ahmad,10,60,0,49,3,4.9,27,1,1,4,1,Afghanistan,Pakistan,1
Kagiso Rabada,10,60,0,40,0,4,37,4,1,0,0,South Africa,Afghanistan,1
Lungi Ngidi,8.3,51,0,69,2,8.11,28,5,4,6,0,South Africa,Afghanistan,1
Aiden Markram,4.3,27,0,25,0,5.55,13,2,1,0,0,South Africa,Afghanistan,1
Gerald Coetzee,10,60,1,44,4,4.4,35,5,0,2,0,South Africa,Afghanistan,1
Keshav Maharaj,10,60,1,25,2,2.5,41,0,0,2,0,South Africa,Afghanistan,1
Andile Phehlukwayo,7,42,0,36,1,5.14,20,4,0,0,0,South Africa,Afghanistan,1
Shoriful Islam,10,60,0,51,2,5.1,38,5,1,3,0,Bangladesh,Netherlands,1
Taskin Ahmed,9,54,1,43,2,4.77,32,6,0,1,0,Bangladesh,Netherlands,1
Shakib Al Hasan,10,60,1,37,1,3.7,35,4,0,0,0,Bangladesh,Netherlands,1
Mehidy Hasan Miraz,4,24,0,17,0,4.25,10,1,0,0,0,Bangladesh,Netherlands,1
Mustafizur Rahman,10,60,1,36,2,3.6,36,3,0,1,0,Bangladesh,Netherlands,1
Mahedi Hasan,7,42,0,40,2,5.71,23,3,1,1,0,Bangladesh,Netherlands,1
Shaheen Shah Afridi,10,60,1,72,2,7.2,32,9,3,0,0,Pakistan,England,1
Haris Rauf,10,60,0,64,3,6.4,32,7,0,3,0,Pakistan,England,1
Iftikhar Ahmed,7,42,0,38,1,5.42,17,4,0,0,0,Pakistan,England,1
Mohammad Wasim,10,60,0,74,2,7.4,26,7,3,1,0,Pakistan,England,1
Shadab Khan,10,60,0,57,0,5.7,25,5,1,0,0,Pakistan,England,1
Agha Salman,3,18,0,25,0,8.33,7,3,1,0,0,Pakistan,England,1
Jasprit Bumrah,5,30,1,8,1,1.6,26,0,0,3,0,India,Sri Lanka,2
Mohammed Siraj,7,42,2,16,3,2.28,35,2,0,1,0,India,Sri Lanka,2
Mohammed Shami,5,30,1,18,5,3.6,22,3,0,0,0,India,Sri Lanka,2
